code,location,registered,enveloped,valid,ANO 2011,Blok proti islam.-Obran.domova,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Dobrá volba 2016,Dělnic.str.sociální spravedl.,Komunistická str.Čech a Moravy,Křesť.demokr.unie-Čs.str.lid.,Občanská demokratická aliance,Občanská demokratická strana,REALISTÉ,"ROZUMNÍ-stop migraci,diktát.EU",Radostné Česko,Referendum o Evropské unii,SPORTOVCI,SPR-Republ.str.Čsl. M.Sládka,STAROSTOVÉ A NEZÁVISLÍ,Strana Práv Občanů,Strana svobodných občanů,Strana zelených,Svob.a př.dem.-T.Okamura (SPD),TOP 09,Česká pirátská strana,Česká str.sociálně demokrat.,Řád národa - Vlastenecká unie
5204,Albrechtice nad Orlicí,818,526,525,"30,09","0,00","0,38","0,00","0,19","10,66","2,66","0,00","13,90","0,95","0,38","0,00","0,00","0,00","0,19","4,76","0,38","1,71","1,14","10,28","8,00","8,76","5,33","0,19"
5204,Bačetín,326,230,226,"28,31","0,00","0,00","0,44","0,00","6,19","10,17","0,88","9,29","0,44","1,32","0,44","1,32","0,00","0,88","3,53","1,32","2,21","1,32","15,92","3,98","6,63","5,30","0,00"
5204,Bartošovice v Orlických horách,161,115,112,"21,42","0,00","0,00","0,00","0,00","13,39","27,67","0,00","9,82","0,00","0,00","0,00","0,89","0,00","0,00","5,35","0,00","1,78","1,78","5,35","6,25","2,67","3,57","0,00"
5204,Bílý Újezd,517,356,354,"37,57","0,00","0,00","0,00","0,00","5,36","11,86","0,00","9,32","0,00","1,97","0,00","0,00","0,28","0,00","4,51","0,28","1,41","0,28","13,84","2,82","6,49","3,67","0,28"
5204,Bohdašín,198,141,140,"17,14","0,71","0,00","0,00","0,00","7,85","31,42","0,00","7,85","1,42","0,00","0,00","0,00","0,00","0,00","4,28","0,71","4,28","0,00","8,57","5,71","8,57","1,42","0,00"
5204,Bolehošť,454,268,265,"36,60","0,00","0,00","0,37","0,37","12,83","9,05","0,00","6,41","0,00","3,39","0,00","0,00","0,00","0,37","3,77","1,13","2,64","1,13","8,67","1,13","6,03","5,66","0,37"
5204,Borohrádek,1 657,861,851,"32,90","0,35","0,11","0,11","0,11","10,81","4,46","0,00","11,04","0,23","1,99","0,11","0,11","0,23","0,11","3,29","0,47","0,94","0,47","10,81","4,93","7,75","8,46","0,11"
5204,Borovnice,315,175,175,"28,57","0,00","1,14","0,00","0,00","12,57","8,57","0,00","14,28","0,00","0,00","0,00","0,00","0,00","1,14","0,57","0,00","1,14","2,85","9,71","2,85","8,00","8,00","0,57"
5204,Bystré,206,162,161,"25,46","0,00","0,00","0,00","0,62","13,04","8,69","0,00","11,18","0,00","1,24","0,00","0,00","0,62","0,00","3,72","0,00","1,24","0,62","4,96","14,90","9,31","4,34","0,00"
5204,Byzhradec,173,103,102,"35,29","0,00","0,00","0,00","0,98","1,96","9,80","0,00","16,66","0,00","0,98","0,00","0,00","0,00","0,00","4,90","0,00","0,98","2,94","5,88","6,86","10,78","1,96","0,00"
5204,Častolovice,1 302,798,793,"33,41","0,00","0,00","0,00","0,12","11,60","5,67","0,12","10,84","0,25","0,88","0,00","0,12","0,12","0,37","2,01","0,63","0,88","1,63","9,58","6,55","8,95","5,80","0,37"
5204,Čermná nad Orlicí,809,543,540,"32,22","0,00","0,00","0,18","0,55","15,37","2,96","0,00","6,66","0,74","0,55","0,00","0,00","0,00","0,18","6,29","0,00","0,92","0,74","15,92","2,59","7,40","6,29","0,37"
5204,Černíkovice,583,372,372,"39,51","0,26","0,00","0,53","0,26","5,64","8,06","0,00","9,40","1,34","1,88","0,00","0,00","0,00","0,00","5,91","0,00","0,80","1,07","8,87","2,68","7,52","6,18","0,00"
5204,České Meziříčí,1 435,856,849,"29,32","0,23","0,11","1,41","0,11","7,06","7,42","0,11","8,71","0,35","0,70","0,11","0,23","0,11","0,23","11,30","0,23","1,53","1,76","9,65","3,88","8,95","6,24","0,11"
5204,Čestice,460,288,288,"32,63","0,00","0,00","0,00","0,00","12,84","2,77","0,00","8,33","0,00","0,69","0,00","0,00","0,00","0,00","3,12","0,00","3,12","2,77","11,45","4,16","10,41","7,63","0,00"
5204,Deštné v Orlických horách,521,369,364,"20,32","0,00","0,00","0,00","0,00","4,67","8,51","0,00","21,70","0,54","0,82","0,00","0,00","0,00","0,27","4,94","0,82","0,82","0,54","7,69","8,51","13,18","4,67","1,92"
5204,Dobré,688,484,483,"36,85","0,62","0,00","0,20","0,41","5,38","12,62","0,41","8,07","0,41","1,24","0,00","0,20","0,00","0,00","3,10","0,00","2,69","1,24","10,97","2,69","6,62","6,00","0,20"
5204,Dobruška,5 476,3 629,3 599,"33,09","0,08","0,05","0,05","0,22","7,61","10,61","0,05","8,75","0,77","1,08","0,05","0,08","0,05","0,30","3,41","0,16","1,86","0,72","8,00","5,91","10,44","6,41","0,13"
5204,Dobřany,97,71,70,"41,42","0,00","0,00","0,00","0,00","2,85","10,00","0,00","14,28","0,00","0,00","0,00","1,42","0,00","0,00","0,00","0,00","0,00","2,85","4,28","8,57","4,28","10,00","0,00"
5204,Doudleby nad Orlicí,1 534,959,958,"34,65","0,00","0,10","0,20","0,41","7,41","3,96","0,00","9,91","0,10","1,04","0,52","0,10","0,31","0,52","3,65","0,41","1,77","0,62","15,24","2,81","8,35","7,30","0,52"
5204,Hřibiny-Ledská,274,176,174,"31,03","0,57","0,00","0,00","0,00","11,49","6,32","0,00","10,91","0,57","0,57","0,00","0,00","1,14","1,72","4,02","0,57","1,14","0,57","8,04","2,87","10,91","7,47","0,00"
5204,Chleny,189,130,130,"26,15","0,76","0,00","0,00","0,00","11,53","13,07","0,76","11,53","0,76","1,53","0,00","0,00","0,00","0,00","6,15","0,00","0,76","3,07","4,61","1,53","13,84","3,84","0,00"
5204,Chlístov,74,58,58,"22,41","0,00","0,00","0,00","0,00","6,89","17,24","0,00","6,89","0,00","0,00","0,00","0,00","0,00","0,00","3,44","0,00","0,00","3,44","17,24","6,89","3,44","12,06","0,00"
5204,Jahodov,82,57,54,"20,37","0,00","0,00","0,00","1,85","16,66","1,85","1,85","14,81","0,00","0,00","0,00","0,00","0,00","0,00","5,55","0,00","3,70","0,00","12,96","1,85","9,25","9,25","0,00"
5204,Janov,93,73,72,"15,27","0,00","0,00","0,00","0,00","8,33","40,27","0,00","2,77","0,00","1,38","0,00","1,38","0,00","0,00","0,00","1,38","0,00","2,77","12,50","6,94","2,77","4,16","0,00"
5204,Javornice,808,568,562,"36,47","0,00","0,17","0,00","0,00","5,51","4,80","0,00","13,16","0,00","0,71","0,00","0,00","0,00","1,06","4,09","0,17","2,13","1,42","7,47","2,66","12,63","7,47","0,00"
5204,Kostelec nad Orlicí,4 977,3 130,3 089,"31,79","0,06","0,06","0,09","0,09","6,96","4,37","0,19","13,82","0,51","0,80","0,06","0,12","0,19","0,55","2,91","0,32","1,65","1,00","12,07","4,43","10,81","6,96","0,09"
5204,Kostelecké Horky,123,81,80,"23,75","0,00","0,00","0,00","0,00","1,25","13,75","1,25","2,50","0,00","2,50","0,00","0,00","0,00","0,00","7,50","0,00","0,00","6,25","13,75","0,00","16,25","11,25","0,00"
5204,Kounov,195,141,138,"34,05","0,72","0,00","0,00","0,72","3,62","15,21","0,00","8,69","0,00","0,00","0,00","0,00","0,00","0,00","7,24","0,00","0,72","0,72","10,14","4,34","10,14","3,62","0,00"
5204,Králova Lhota,179,127,126,"31,74","0,00","0,00","0,00","0,79","7,14","6,34","0,79","7,14","0,00","0,79","0,00","0,00","0,00","0,00","5,55","0,00","3,96","0,79","11,11","2,38","14,28","7,14","0,00"
5204,Krchleby,70,50,50,"36,00","0,00","0,00","0,00","0,00","6,00","14,00","0,00","2,00","0,00","2,00","0,00","0,00","0,00","0,00","6,00","0,00","0,00","2,00","4,00","2,00","8,00","18,00","0,00"
5204,Kvasiny,1 093,681,673,"42,64","0,29","0,00","0,29","0,29","5,20","6,83","0,00","7,72","0,59","0,29","0,14","0,29","0,44","0,44","1,63","0,29","1,18","2,22","12,03","3,41","6,53","7,13","0,00"
5204,Lhoty u Potštejna,248,163,162,"43,82","0,00","0,00","0,00","0,61","4,93","1,23","0,00","4,93","1,23","0,61","0,00","0,00","0,00","0,61","7,40","0,00","3,70","0,61","11,11","2,46","8,64","8,02","0,00"
